Package Name,Package Path,Package Version,CHANGELOG Path,Latest NPM Stable,Latest NPM Beta,Match Type
@azure-rest/ai-translation-text,sdk/translation/ai-translation-text-rest,1.0.2,sdk/translation/ai-translation-text-rest/CHANGELOG.md,1.0.2,1.0.0-beta.1,LATEST_STABLE
@azure/arm-kubernetesconfiguration,sdk/kubernetesconfiguration/arm-kubernetesconfiguration,6.1.1,sdk/kubernetesconfiguration/arm-kubernetesconfiguration/CHANGELOG.md,6.1.1,5.0.0-beta.1,LATEST_STABLE
@azure/arm-databoundaries,sdk/databoundaries/arm-databoundaries,1.0.0-beta.2,sdk/databoundaries/arm-databoundaries/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure-rest/arm-servicefabric,sdk/servicefabric/arm-servicefabric-rest,1.0.0-beta.3,sdk/servicefabric/arm-servicefabric-rest/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-servicefabric,sdk/servicefabric/arm-servicefabric,3.0.1,sdk/servicefabric/arm-servicefabric/CHANGELOG.md,3.0.1,2.0.0-beta.1,LATEST_STABLE
@azure/synapse-monitoring,sdk/synapse/synapse-monitoring,1.0.0-beta.4,sdk/synapse/synapse-monitoring/CHANGELOG.md,,1.0.0-beta.4,LATEST_BETA
@azure/synapse-access-control,sdk/synapse/synapse-access-control,1.0.0-beta.5,sdk/synapse/synapse-access-control/CHANGELOG.md,,1.0.0-beta.5,LATEST_BETA
@azure/synapse-spark,sdk/synapse/synapse-spark,1.0.0-beta.6,sdk/synapse/synapse-spark/CHANGELOG.md,,1.0.0-beta.6,LATEST_BETA
@azure/synapse-managed-private-endpoints,sdk/synapse/synapse-managed-private-endpoints,1.0.0-beta.6,sdk/synapse/synapse-managed-private-endpoints/CHANGELOG.md,,1.0.0-beta.6,LATEST_BETA
@azure/arm-synapse,sdk/synapse/arm-synapse,9.0.0-beta.2,sdk/synapse/arm-synapse/CHANGELOG.md,8.0.0,9.0.0-beta.2,LATEST_BETA
@azure/arm-oep,sdk/oep/arm-oep,1.0.0-beta.4,sdk/oep/arm-oep/CHANGELOG.md,,1.0.0-beta.4,LATEST_BETA
@azure/arm-guestconfiguration,sdk/guestconfiguration/arm-guestconfiguration,1.0.0-beta.2,sdk/guestconfiguration/arm-guestconfiguration/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure/arm-policy-profile-2020-09-01-hybrid,sdk/policy/arm-policy-profile-2020-09-01-hybrid,2.1.1,sdk/policy/arm-policy-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-resourcesdeploymentstacks,sdk/resourcesdeploymentstacks/arm-resourcesdeploymentstacks,1.0.1,sdk/resourcesdeploymentstacks/arm-resourcesdeploymentstacks/CHANGELOG.md,1.0.1,1.0.0-beta.1,LATEST_STABLE
@azure/arm-resourcehealth,sdk/resourcehealth/arm-resourcehealth,4.1.0-beta.2,sdk/resourcehealth/arm-resourcehealth/CHANGELOG.md,4.0.0,4.1.0-beta.2,LATEST_BETA
@azure/arm-managementgroups,sdk/managementgroups/arm-managementgroups,2.0.3,sdk/managementgroups/arm-managementgroups/CHANGELOG.md,2.0.3,2.0.0-beta.1,LATEST_STABLE
@azure/arm-frontdoor,sdk/frontdoor/arm-frontdoor,5.3.1,sdk/frontdoor/arm-frontdoor/CHANGELOG.md,5.3.1,,LATEST_STABLE
@azure/arm-devtestlabs,sdk/devtestlabs/arm-devtestlabs,4.1.1,sdk/devtestlabs/arm-devtestlabs/CHANGELOG.md,4.1.1,4.0.0-beta.1,LATEST_STABLE
@azure/arm-databricks,sdk/databricks/arm-databricks,3.0.1,sdk/databricks/arm-databricks/CHANGELOG.md,3.0.1,3.0.0-beta.4,LATEST_STABLE
@azure/arm-dns-profile-2020-09-01-hybrid,sdk/dns/arm-dns-profile-2020-09-01-hybrid,2.1.1,sdk/dns/arm-dns-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-dns,sdk/dns/arm-dns,5.2.0-beta.2,sdk/dns/arm-dns/CHANGELOG.md,5.1.0,5.2.0-beta.2,LATEST_BETA
@azure/arm-kusto,sdk/kusto/arm-kusto,8.2.1,sdk/kusto/arm-kusto/CHANGELOG.md,8.2.1,,LATEST_STABLE
@azure/arm-hybridcontainerservice,sdk/hybridcontainerservice/arm-hybridcontainerservice,1.0.1,sdk/hybridcontainerservice/arm-hybridcontainerservice/CHANGELOG.md,1.0.1,1.0.0-beta.3,LATEST_STABLE
@azure/arm-securityinsight,sdk/securityinsight/arm-securityinsight,1.0.0-beta.7,sdk/securityinsight/arm-securityinsight/CHANGELOG.md,,1.0.0-beta.7,LATEST_BETA
@azure/arm-quota,sdk/quota/arm-quota,1.1.1,sdk/quota/arm-quota/CHANGELOG.md,1.1.1,1.1.0-beta.2,LATEST_STABLE
@azure/arm-deploymentmanager,sdk/deploymentmanager/arm-deploymentmanager,4.0.0-beta.5,sdk/deploymentmanager/arm-deploymentmanager/CHANGELOG.md,3.1.1,4.0.0-beta.5,LATEST_BETA
@azure/arm-hdinsight,sdk/hdinsight/arm-hdinsight,1.3.0-beta.3,sdk/hdinsight/arm-hdinsight/CHANGELOG.md,1.2.1,1.3.0-beta.3,LATEST_BETA
@azure/arm-hdinsightcontainers,sdk/hdinsight/arm-hdinsightcontainers,1.0.0-beta.4,sdk/hdinsight/arm-hdinsightcontainers/CHANGELOG.md,,1.0.0-beta.4,LATEST_BETA
@azure/arm-billingbenefits,sdk/billingbenefits/arm-billingbenefits,1.0.1,sdk/billingbenefits/arm-billingbenefits/CHANGELOG.md,1.0.1,,LATEST_STABLE
@azure/storage-file-datalake,sdk/storage/storage-file-datalake,12.28.0,sdk/storage/storage-file-datalake/CHANGELOG.md,12.28.0,12.28.0-beta.1,LATEST_STABLE
@azure/storage-queue,sdk/storage/storage-queue,12.28.0,sdk/storage/storage-queue/CHANGELOG.md,12.28.0,12.28.0-beta.1,LATEST_STABLE
@azure/storage-common,sdk/storage/storage-common,12.1.0,sdk/storage/storage-common/CHANGELOG.md,12.1.0,12.1.0-beta.1,LATEST_STABLE
@azure/storage-blob-changefeed,sdk/storage/storage-blob-changefeed,12.0.0-preview.5,sdk/storage/storage-blob-changefeed/CHANGELOG.md,12.0.0-dev.20200810.1,,PUBLISHED_VERSION
@azure/storage-file-share,sdk/storage/storage-file-share,12.29.0,sdk/storage/storage-file-share/CHANGELOG.md,12.29.0,12.29.0-beta.1,LATEST_STABLE
@azure/storage-blob,sdk/storage/storage-blob,12.29.0,sdk/storage/storage-blob/CHANGELOG.md,12.29.0,12.29.0-beta.1,LATEST_STABLE
@azure/arm-storage-profile-2020-09-01-hybrid,sdk/storage/arm-storage-profile-2020-09-01-hybrid,2.1.1,sdk/storage/arm-storage-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/functions-authentication-events,sdk/entra/functions-authentication-events,1.0.0-beta.3,sdk/entra/functions-authentication-events/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-migrate,sdk/migrate/arm-migrate,2.0.4,sdk/migrate/arm-migrate/CHANGELOG.md,2.0.4,,LATEST_STABLE
@azure/eventgrid-systemevents,sdk/eventgrid/eventgrid-systemevents,1.0.2,sdk/eventgrid/eventgrid-systemevents/CHANGELOG.md,1.0.2,1.0.0-beta.7,LATEST_STABLE
@azure/eventgrid,sdk/eventgrid/eventgrid,5.12.1,sdk/eventgrid/eventgrid/CHANGELOG.md,5.12.1,5.1.0-beta.1,LATEST_STABLE
@azure/eventgrid-namespaces,sdk/eventgrid/eventgrid-namespaces,1.0.1,sdk/eventgrid/eventgrid-namespaces/CHANGELOG.md,1.0.1,1.0.0-beta.2,LATEST_STABLE
@azure/arm-storsimple8000series,sdk/storsimple8000series/arm-storsimple8000series,2.1.1,sdk/storsimple8000series/arm-storsimple8000series/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/api-management-custom-widgets-tools,sdk/apimanagement/api-management-custom-widgets-tools,1.0.0-beta.3,sdk/apimanagement/api-management-custom-widgets-tools/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/api-management-custom-widgets-scaffolder,sdk/apimanagement/api-management-custom-widgets-scaffolder,1.0.0-beta.5,sdk/apimanagement/api-management-custom-widgets-scaffolder/CHANGELOG.md,,1.0.0-beta.5,LATEST_BETA
@azure/arm-springappdiscovery,sdk/springappdiscovery/arm-springappdiscovery,1.0.0-beta.2,sdk/springappdiscovery/arm-springappdiscovery/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure/arm-billing,sdk/billing/arm-billing,5.0.1,sdk/billing/arm-billing/CHANGELOG.md,5.0.1,,LATEST_STABLE
@azure/arm-postgresql,sdk/postgresql/arm-postgresql,6.1.1,sdk/postgresql/arm-postgresql/CHANGELOG.md,6.1.1,6.0.0-beta.1,LATEST_STABLE
@azure/arm-communication,sdk/communication/arm-communication,4.1.1,sdk/communication/arm-communication/CHANGELOG.md,4.1.1,4.1.0-beta.2,LATEST_STABLE
@azure/communication-rooms,sdk/communication/communication-rooms,1.2.1,sdk/communication/communication-rooms/CHANGELOG.md,1.2.1,1.1.0-beta.1,LATEST_STABLE
@azure-rest/communication-job-router,sdk/communication/communication-job-router-rest,1.1.0-beta.3,sdk/communication/communication-job-router-rest/CHANGELOG.md,1.0.0,1.1.0-beta.3,LATEST_BETA
@azure/communication-common,sdk/communication/communication-common,2.4.1,sdk/communication/communication-common/CHANGELOG.md,2.4.1,2.3.2-beta.1,LATEST_STABLE
@azure/arm-extendedlocation,sdk/extendedlocation/arm-extendedlocation,1.0.0-beta.4,sdk/extendedlocation/arm-extendedlocation/CHANGELOG.md,,1.0.0-beta.4,LATEST_BETA
@azure/arm-domainservices,sdk/domainservices/arm-domainservices,4.1.1,sdk/domainservices/arm-domainservices/CHANGELOG.md,4.1.1,,LATEST_STABLE
@azure/arm-mariadb,sdk/mariadb/arm-mariadb,2.1.1,sdk/mariadb/arm-mariadb/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-graphservices,sdk/graphservices/arm-graphservices,1.0.1,sdk/graphservices/arm-graphservices/CHANGELOG.md,1.0.1,1.0.0-beta.1,LATEST_STABLE
@azure/arm-baremetalinfrastructure,sdk/baremetalinfrastructure/arm-baremetalinfrastructure,1.0.0-beta.3,sdk/baremetalinfrastructure/arm-baremetalinfrastructure/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-network-profile-2020-09-01-hybrid,sdk/network/arm-network-profile-2020-09-01-hybrid,2.1.1,sdk/network/arm-network-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure-rest/arm-network,sdk/network/arm-network-rest,1.0.0-beta.3,sdk/network/arm-network-rest/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-storsimple1200series,sdk/storsimple1200series/arm-storsimple1200series,2.1.1,sdk/storsimple1200series/arm-storsimple1200series/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-botservice,sdk/botservice/arm-botservice,4.0.1,sdk/botservice/arm-botservice/CHANGELOG.md,4.0.1,4.0.0-beta.5,LATEST_STABLE
